,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q372,Q1,Q166,Q2,Q375,Q89,Q3,Q6,Q7,Q10,Q88,Q191,Q192,Q190,Q1_1,Q1_1c,Q1_2,Q1_2c,Q1_2s,Q1_2r,Q1_2p,Q2_1,Q2_1c,Q2_2,Q2_2c,Q2_2s,Q2_2r,Q2_2p,Q690,Q691,Q692,Q693,Q694,Q695,Q696,Q697,Q698,Q699,Q700,Q701,Q702,Q703,Q711,Q712,Q713,Q714,Q715,Q716,Q717,Q718,Q719,Q720,Q721,Q722,Q723,Q724,Q725,Q726,Q727,Q728,Q729,Q730,Q731,Q739,Q740,Q741,Q742,Q743,Q744,Q745,Q753,Q754,Q755,Q756,Q757,Q758,Q759,Q760,Q761,Q762,Q763,Q764,Q765,Q766,Q774,Q775,Q776,Q777,Q778,Q779,Q780,Q781,Q782,Q783,Q784,Q785,Q786,Q787,Q788,Q789,Q790,Q791,Q792,Q793,Q794,Q795,Q796,Q797,Q798,Q799,Q800,Q801,Q809,Q810,Q811,Q812,Q813,Q814,Q815,Q816,Q817,Q818,Q819,Q820,Q821,Q822,Q823,Q824,Q825,Q826,Q827,Q828,Q829,Q830,Q831,Q832,Q833,Q834,Q835,Q836,Q200,Q370,Q376,Q373
10,7/9/24 12:39,7/9/24 13:04,IP Address,174.200.51.40,80,1536,FALSE,7/16/24 13:05,R_GCsJa0KJ770qP4Z,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,5 to 10 years,Academic medical or research center,,,,Have tried once or twice,Unsure,Intermediate factor in diagnosis,Kabuki syndrome,0,Kabuki syndrome,1,1,1,1,Angelman syndrome,-1,Angelman syndrome,1,1,1,1,Noonan syndrome,1,Noonan syndrome,1,1,1,1,Unaffected,1,Unaffected,1,1,1,1,Williams syndrome,-1,Angelman syndrome,1,1,1,1,22q11.2 deletion syndrome,1,Kabuki syndrome,1,1,1,1,Angelman syndrome,-1,Williams syndrome,1,1,1,1,Noonan syndrome,1,Kabuki syndrome,1,1,1,1,Kabuki syndrome,0,Williams syndrome,1,1,1,1,22q11.2 deletion syndrome,0,22q11.2 deletion syndrome,1,1,1,1,Williams syndrome,0,Williams syndrome,1,1,1,1,Angelman syndrome,0,Unaffected,1,1,1,1,Unaffected,0,22q11.2 deletion syndrome,1,1,1,1,Williams syndrome,0,22q11.2 deletion syndrome,1,1,1,1,Williams syndrome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7/7/24 20:00,7/7/24 20:09,IP Address,160.87.0.221,11,516,FALSE,7/14/24 20:09,R_GDxWRitBxon62v7,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Sometimes,Mostly accurate,Intermediate factor in diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7/10/24 13:23,7/10/24 13:29,IP Address,94.249.50.205,16,311,FALSE,7/17/24 13:29,R_G4aL6s60bdxZ8pr,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Other,,,,Sometimes,Unsure,Intermediate factor in diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7/10/24 14:39,7/10/24 14:43,IP Address,174.196.132.16,16,229,FALSE,7/17/24 14:43,R_GsvSRvHAANkiHTO,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Community based hospital,,,,Sometimes,Mostly accurate,Major factor in diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7/16/24 14:02,7/16/24 14:03,IP Address,72.66.16.178,3,24,FALSE,7/23/24 14:03,R_GgbEo83lncDRJYS,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7/16/24 14:34,7/16/24 15:07,IP Address,205.142.197.89,99,1951,FALSE,7/23/24 15:07,R_GE5bfiKBLCe9di7,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Sometimes,Unsure,Major factor in diagnosis,Kabuki syndrome,1,Kabuki syndrome,2,2,2,2,Angelman syndrome,-2,Angelman syndrome,2,2,2,2,Noonan syndrome,1,Noonan syndrome,2,2,2,2,22q11.2 deletion syndrome,-2,Unaffected,2,2,2,2,Williams syndrome,-1,Angelman syndrome,1,2,2,2,Kabuki syndrome,0,Kabuki syndrome,2,2,2,2,Williams syndrome,-2,Williams syndrome,2,2,2,2,Noonan syndrome,-2,Kabuki syndrome,-1,1,1,1,Noonan syndrome,-1,Williams syndrome,1,1,1,1,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,2,2,2,2,Williams syndrome,0,Williams syndrome,2,2,2,2,Unaffected,-2,Unaffected,2,2,2,2,Noonan syndrome,-2,Noonan syndrome,1,1,1,1,Kabuki syndrome,-2,22q11.2 deletion syndrome,0,0,0,0,Angelman syndrome,-1,Angelman syndrome,2,2,2,2,Noonan syndrome,-2,Noonan syndrome,2,2,2,2,Williams syndrome,-2,Angelman syndrome,0,0,0,0,Kabuki syndrome,-2,Kabuki syndrome,2,2,2,2,,No,,
16,7/16/24 16:13,7/16/24 16:21,IP Address,100.15.94.54,49,428,FALSE,7/23/24 16:21,R_Go34GtGPW69WLo5,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,1 to 5 years,Community based hospital,,,,Have tried once or twice,Inaccurate,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,1,1,22q11.2 deletion syndrome,1,Angelman syndrome,1,-2,-1,1,Noonan syndrome,2,Noonan syndrome,-2,-2,0,2,Unaffected,2,Unaffected,2,-2,-2,-2,Williams syndrome,1,Williams syndrome,-2,-2,-2,-2,Kabuki syndrome,1,Kabuki syndrome,1,-2,-2,1,Williams syndrome,2,Williams syndrome,2,-2,-2,2,Noonan syndrome,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7/17/24 21:20,7/17/24 21:42,IP Address,174.109.31.153,100,1337,TRUE,7/17/24 21:42,R_GGrm1vliCilYvFG,,,,,"35,961","-78,9291",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Have tried once or twice,Unsure,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,22q11.2 deletion syndrome,0,Angelman syndrome,0,0,0,0,Noonan syndrome,2,Noonan syndrome,2,-2,-2,-2,Kabuki syndrome,2,Kabuki syndrome,0,0,0,0,Williams syndrome,2,Williams syndrome,0,0,0,0,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,Williams syndrome,2,Williams syndrome,2,-2,-2,-2,Noonan syndrome,2,Noonan syndrome,0,-2,-2,-2,Noonan syndrome,2,Noonan syndrome,0,-2,-2,-2,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,-2,-2,-2,Williams syndrome,2,Williams syndrome,2,-2,-2,-2,Unaffected,2,Unaffected,2,-2,-2,-2,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,1,-2,-2,-2,Kabuki syndrome,2,Kabuki syndrome,0,-2,-2,-2,Unaffected,0,Unaffected,0,-2,-2,-2,Noonan syndrome,2,Noonan syndrome,2,-2,-2,-2,Angelman syndrome,2,Angelman syndrome,2,-2,-2,-2,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,My first thought is I hope I don't mess up your survey by being a poor research participant I really did not understand the AI diagrams and pictures either I recognize the condition immediately stage with that diagnosis or if the AI tool disagreed I reduced my confidence level and if this was the real world it would make me pause and reconsider am I really sure this is the diagnosis which as for the various boxes and diagrams they meant nothing to me,Yes,,
18,7/18/24 12:46,7/18/24 13:12,IP Address,61.2.202.41,100,1572,TRUE,7/18/24 13:12,R_GM560ttQFtofeYK,,,,,"17,3724","78,4378",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Sometimes,Mostly accurate,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,1,1,2,22q11.2 deletion syndrome,1,Angelman syndrome,2,2,1,2,Noonan syndrome,2,Noonan syndrome,2,2,2,2,Unaffected,1,Unaffected,1,1,1,2,Unaffected,1,Unaffected,1,-1,-1,-1,Kabuki syndrome,1,Kabuki syndrome,2,1,1,2,Williams syndrome,1,Williams syndrome,2,1,1,2,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,1,0,0,0,Williams syndrome,2,Williams syndrome,2,1,1,1,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,2,1,1,2,Williams syndrome,1,Williams syndrome,2,1,1,2,Unaffected,1,Unaffected,1,1,1,1,Unaffected,1,Unaffected,0,0,0,0,Kabuki syndrome,1,22q11.2 deletion syndrome,1,1,1,1,Angelman syndrome,1,Angelman syndrome,1,1,1,1,Noonan syndrome,1,Noonan syndrome,2,1,1,2,Williams syndrome,2,Williams syndrome,1,-1,-1,-1,Unaffected,1,Unaffected,1,0,0,0,The AI prediction matched the clinical diagnosis in most of the cases.,No,,
19,7/18/24 18:25,7/18/24 18:35,IP Address,104.28.98.39,22,604,FALSE,7/25/24 18:35,R_GYajHkj0stsmNdb,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,1 to 5 years,Academic medical or research center,,,,Have tried once or twice,Unsure,Intermediate factor in diagnosis,Kabuki syndrome,1,Kabuki syndrome,2,-2,-2,0,22q11.2 deletion syndrome,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7/20/24 9:50,7/20/24 10:10,IP Address,94.190.136.160,100,1164,TRUE,7/20/24 10:10,R_GTQTPTvtpbmXp1S,,,,,"43,2002","27,9425",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,5 to 10 years,Community based hospital,,,,Routinely,Mostly accurate,Major factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,1,1,2,22q11.2 deletion syndrome,1,Angelman syndrome,1,1,1,1,Noonan syndrome,2,Noonan syndrome,2,0,0,2,Unaffected,1,Unaffected,1,0,0,2,Unaffected,1,Unaffected,1,0,0,0,Kabuki syndrome,2,Kabuki syndrome,2,0,0,2,Williams syndrome,2,Williams syndrome,2,0,0,2,Noonan syndrome,1,Unaffected,0,0,0,0,Kabuki syndrome,0,Williams syndrome,0,0,0,0,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,2,0,0,2,Williams syndrome,2,Williams syndrome,2,0,0,2,Unaffected,1,Unaffected,1,0,0,1,Unaffected,0,22q11.2 deletion syndrome,-1,0,0,1,Kabuki syndrome,2,Kabuki syndrome,0,0,0,0,Williams syndrome,-1,Angelman syndrome,-2,0,0,0,Noonan syndrome,1,Noonan syndrome,1,0,0,1,Angelman syndrome,2,Angelman syndrome,2,0,0,1,Unaffected,0,Unaffected,-2,0,0,0, saliency maps has no clear benefits to me,Yes,,
21,7/22/24 7:40,7/22/24 8:42,IP Address,57.133.22.168,100,3723,TRUE,7/22/24 8:42,R_GSe6EPLpyzeijL1,,,,,"43,1479","12,1097",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Molecular diagnostic company,,,,Sometimes,Highly accurate,Major factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,0,0,2,Angelman syndrome,1,Angelman syndrome,2,0,0,2,Noonan syndrome,2,Noonan syndrome,2,0,0,2,22q11.2 deletion syndrome,1,Unaffected,1,0,1,1,Angelman syndrome,1,Angelman syndrome,2,0,0,2,Kabuki syndrome,2,Kabuki syndrome,2,0,0,2,Williams syndrome,2,Williams syndrome,2,0,0,2,Williams syndrome,1,Kabuki syndrome,1,0,0,1,Noonan syndrome,2,Noonan syndrome,0,0,0,0,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,0,0,2,Williams syndrome,2,Williams syndrome,2,0,0,2,Unaffected,0,Unaffected,2,0,0,2,Kabuki syndrome,1,22q11.2 deletion syndrome,1,0,0,2,Kabuki syndrome,2,22q11.2 deletion syndrome,1,0,0,2,Williams syndrome,1,Angelman syndrome,2,0,0,2,Noonan syndrome,2,Noonan syndrome,2,0,0,2,Angelman syndrome,1,Angelman syndrome,0,0,0,0,Unaffected,2,Kabuki syndrome,2,0,0,2,Great exercise on how much more accurate facial analysis technology is than an experience clinician (me),Yes,,I am struggling with sliency maps
22,7/22/24 14:49,7/22/24 15:15,IP Address,146.79.254.10,99,1547,FALSE,7/29/24 15:15,R_G2b6bfhruev4XW2,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,> 10 years,Academic medical or research center,,,,Have tried once or twice,Inaccurate,Minor factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,0,-2,2,Angelman syndrome,1,Angelman syndrome,2,-1,-2,2,Noonan syndrome,2,Noonan syndrome,2,-2,-2,2,Unaffected,0,Unaffected,2,-2,-2,2,Unaffected,1,Angelman syndrome,0,-2,-2,1,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,2,Williams syndrome,-1,Williams syndrome,2,-2,-2,2,Noonan syndrome,1,Kabuki syndrome,0,-2,-2,1,Noonan syndrome,1,Williams syndrome,1,-2,-2,1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,-2,-2,2,Williams syndrome,2,Williams syndrome,2,-2,-2,2,Unaffected,1,Unaffected,2,-2,-2,1,Unaffected,0,Unaffected,0,-2,-2,0,Kabuki syndrome,0,22q11.2 deletion syndrome,1,-2,-2,2,Williams syndrome,0,Angelman syndrome,0,-2,-2,1,Unaffected,0,Noonan syndrome,1,-2,-2,1,Williams syndrome,2,Angelman syndrome,2,-2,-2,2,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,2,I did not find the saliency or region relevance scores helpful,No,,
23,7/24/24 10:39,7/24/24 10:42,IP Address,140.251.28.112,21,132,FALSE,7/31/24 10:42,R_GNuzwXI65moQ8JH,,,,,,,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,,,5 to 10 years,Academic medical or research center,,,,Sometimes,Inaccurate,Not used in diagnosis,Kabuki syndrome,1,Kabuki syndrome,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6/16/25 15:31,6/16/25 15:52,IP Address,73.134.51.52,99,1260,FALSE,6/23/25 15:52,R_GdyiK433ZxLf2Zw,,,,,"38,9034","-76,9882",anonymous,EN,Yes,a genetics trainee (resident or fellow),,,,,,,,Year 4 or more,,Have tried once or twice,Inaccurate,Minor factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,1,0,1,22q11.2 deletion syndrome,0,Angelman syndrome,0,0,0,0,Noonan syndrome,1,Noonan syndrome,1,1,0,1,Unaffected,0,Unaffected,0,0,0,0,Williams syndrome,0,Angelman syndrome,-1,-1,-1,-1,Kabuki syndrome,1,Kabuki syndrome,1,0,0,0,Williams syndrome,1,Williams syndrome,2,1,1,1,Noonan syndrome,1,Noonan syndrome,-1,-1,-1,-1,Kabuki syndrome,0,Williams syndrome,-1,0,0,0,22q11.2 deletion syndrome,0,22q11.2 deletion syndrome,1,1,1,1,Williams syndrome,2,Williams syndrome,2,1,1,1,Unaffected,1,Unaffected,2,0,0,1,22q11.2 deletion syndrome,-1,22q11.2 deletion syndrome,1,1,1,2,Kabuki syndrome,1,22q11.2 deletion syndrome,-1,0,0,0,Williams syndrome,2,Williams syndrome,0,-1,-1,-1,Noonan syndrome,0,Noonan syndrome,1,0,1,1,Williams syndrome,1,Angelman syndrome,0,0,0,1,Kabuki syndrome,0,Kabuki syndrome,1,0,0,1,"I did consider it multiple times and changed my answer. The scores, mainly the predictions, influenced my decision. ",No,,
25,6/20/25 12:39,########,IP Address,90.219.249.5,100,1205,TRUE,6/20/25 12:59,R_GwbmLCCW1B50b0Q,,, , ,"53,4467","-2,1838",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,, ,> 10 years,Academic medical or research center,,,,Sometimes,Mostly accurate,Major factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,1,2,Angelman syndrome,0,Angelman syndrome,1,1,1,1,Noonan syndrome,2,Noonan syndrome,2,0,1,2,22q11.2 deletion syndrome,0,Unaffected,2,2,2,2,Unaffected,0,Unaffected,1,-1,-1,0,Kabuki syndrome,2,Kabuki syndrome,2,1,1,2,Williams syndrome,1,Williams syndrome,1,2,1,2,Noonan syndrome,1,Noonan syndrome,0,0,0,-1,Unaffected,1,Unaffected,1,0,1,1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,1,2,2,Williams syndrome,2,Williams syndrome,2,1,2,2,Unaffected,1,Unaffected,2,2,2,2,Unaffected,1,Unaffected,1,1,0,1,Kabuki syndrome,1,22q11.2 deletion syndrome,1,2,2,2,Angelman syndrome,1,Angelman syndrome,1,1,2,2,Williams syndrome,1,Williams syndrome,1,1,1,1,Angelman syndrome,1,Angelman syndrome,1,2,1,2,Kabuki syndrome,1,Kabuki syndrome,1,1,1,2,Some diagnoses obvious and my visual Dx and AI were in accord. For those where I was less sure the AI Dx helped confirm my tentative suggestion. Strangely the unaffecteds were hard,No, , 
26,6/20/25 14:50,########,IP Address,132.183.13.25,100,1142,TRUE,6/20/25 15:09,R_Gz2qn7xZXJ6f8kh,, , , ,"42,3634","-71,0713",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,, ,> 10 years,Academic medical or research center,,,,Never,Mostly accurate,Major factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,0,0,0,22q11.2 deletion syndrome,0,Angelman syndrome,2,2,0,0,Noonan syndrome,2,Noonan syndrome,2,2,2,2,Unaffected,2,Unaffected,2,0,0,0,Unaffected,2,Angelman syndrome,2,2,2,2,Kabuki syndrome,2,Kabuki syndrome,2,2,2,2,Unaffected,-2,Williams syndrome,2,2,2,2,Noonan syndrome,0,Kabuki syndrome,-1,0,0,0,Noonan syndrome,2,Williams syndrome,1,0,0,0,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,2,2,2,Williams syndrome,2,Williams syndrome,2,2,0,2,Unaffected,2,Unaffected,2,0,0,0,Unaffected,2,22q11.2 deletion syndrome,2,2,0,0,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,2,1,1,1,Angelman syndrome,1,Angelman syndrome,2,2,2,2,Noonan syndrome,2,Noonan syndrome,2,2,2,2,Williams syndrome,2,Angelman syndrome,2,2,2,2,Kabuki syndrome,2,Kabuki syndrome,2,2,2,2,"This is a quirky survey. Some faces were classic, others ambiguous, but perhaps that was your study. It was hard to get the knack of the AI metrics. Suggest you do a followup survey since there is a learning process for us humans",Yes,Kabuki syndrome,
27,6/17/25 13:50,########,IP Address,173.79.156.159,100,1413,TRUE,6/17/25 14:14,R_GSoF6HiYk0fKXDw,,, , ,"38,9567","-77,2278",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,, ,< 1 year,Academic medical or research center,,,,Have tried once or twice,Unsure,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,Williams syndrome,0,Williams syndrome,0,1,1,1,Noonan syndrome,2,Noonan syndrome,-2,-2,-2,-2,22q11.2 deletion syndrome,1,Unaffected,1,1,1,1,Williams syndrome,2,Williams syndrome,1,-2,-2,-2,22q11.2 deletion syndrome,1,Kabuki syndrome,2,0,0,0,Angelman syndrome,0,Williams syndrome,1,1,1,1,Noonan syndrome,2,Noonan syndrome,1,-2,-2,-2,Noonan syndrome,1,Noonan syndrome,1,-1,-1,-1,22q11.2 deletion syndrome,0,22q11.2 deletion syndrome,1,1,1,1,Williams syndrome,2,Williams syndrome,2,0,0,0,Unaffected,1,Unaffected,2,1,1,1,22q11.2 deletion syndrome,-1,22q11.2 deletion syndrome,-1,1,1,1,Kabuki syndrome,1,22q11.2 deletion syndrome,0,1,1,1,Williams syndrome,1,Angelman syndrome,0,0,0,0,Noonan syndrome,2,Noonan syndrome,2,0,-2,1,Williams syndrome,2,Williams syndrome,2,-2,-2,-2,Kabuki syndrome,2,Kabuki syndrome,2,0,-2,2,"As I got more used to the set up the first thing I looked at was the prediction then the mapping, and least helpful was the regional bar graph",Yes,"Kabuki syndrome,Noonan syndrome",Major focus on eyes and nose
28,6/17/25 14:16,########,IP Address,132.183.13.60,100,1618,TRUE,6/17/25 14:43,R_GpZMDgiSQCKYosF,,, , ,"42,3634","-71,0713",anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,, ,> 10 years,Academic medical or research center,,,,Have tried once or twice,Unsure,Not used in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,-2,-2,-2,22q11.2 deletion syndrome,2,Angelman syndrome,1,1,1,1,Noonan syndrome,2,Noonan syndrome,2,0,0,0,22q11.2 deletion syndrome,1,Unaffected,1,1,1,1,Williams syndrome,1,Unaffected,0,-1,-2,-1,Noonan syndrome,1,Kabuki syndrome,0,1,0,1,Williams syndrome,1,Williams syndrome,2,1,1,1,Noonan syndrome,1,Noonan syndrome,1,0,0,0,Noonan syndrome,2,Noonan syndrome,1,-1,-1,-1,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,0,0,0,Williams syndrome,2,Williams syndrome,2,0,0,0,Unaffected,1,Unaffected,2,0,0,1,Kabuki syndrome,1,22q11.2 deletion syndrome,1,2,1,2,Kabuki syndrome,1,Kabuki syndrome,1,0,0,0,Williams syndrome,1,Angelman syndrome,1,1,1,2,Noonan syndrome,1,Noonan syndrome,2,0,0,1,Williams syndrome,2,Williams syndrome,2,-2,-2,-2,Unaffected,2,Unaffected,2,-2,-2,-2,"After seeing the color coding of eyes / nose / mouth, I foudn that I no longer looked at the saliency maps. Also, it's worth noting that even though I've been in practice for years, I typically manage patients with a different syndrome (none tested on).",Yes,Kabuki syndrome,
29,6/20/25 15:25,########,IP Address,162.129.251.22,99,980,FALSE,6/27/25,FS_GJ8wFLXQ4wWvBoY,,, , , , ,anonymous,EN,Yes,"a board certified or board eligible medical professional (MD, DO, GC, NP, or PA)",,Medical Geneticist,, ,> 10 years,Academic medical or research center,,,,Sometimes,Mostly accurate,Intermediate factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,1,1,1,1,Unaffected,0,Angelman syndrome,0,0,0,0,Noonan syndrome,2,Noonan syndrome,2,2,2,2,Unaffected,1,Unaffected,2,2,2,2,Unaffected,1,Unaffected,1,1,1,1,Kabuki syndrome,2,Kabuki syndrome,2,2,2,2,22q11.2 deletion syndrome,0,Williams syndrome,1,1,1,1,Noonan syndrome,1,Noonan syndrome,1,1,1,1,22q11.2 deletion syndrome,1,Williams syndrome,1,1,1,1,22q11.2 deletion syndrome,1,22q11.2 deletion syndrome,2,2,2,2,Williams syndrome,1,Williams syndrome,2,2,2,2,Unaffected,1,Unaffected,1,1,1,1,Kabuki syndrome,1,22q11.2 deletion syndrome,1,1,1,1,Kabuki syndrome,1,22q11.2 deletion syndrome,1,1,1,1,Unaffected,1,Angelman syndrome,1,1,1,1,Noonan syndrome,1,Noonan syndrome,1,1,1,1,Angelman syndrome,2,Angelman syndrome,2,2,2,2,22q11.2 deletion syndrome,1,Kabuki syndrome,1,1,1,1,would want state of neurodev features and fam hx/photos before I gave myself many 2s,No, , 
30,6/23/25 17:06,6/23/25 17:26,IP Address,162.129.251.56,100,1188,TRUE,6/23/25 17:26,R_GGOg5VnfUWR1ieJ,,,,,"39,2891","-76,5583",anonymous,EN,Yes,a genetics trainee (resident or fellow),,,,,,,,Year 4 or more,,Have tried once or twice,Unsure,Major factor in diagnosis,Kabuki syndrome,2,Kabuki syndrome,2,0,0,2,22q11.2 deletion syndrome,0,Angelman syndrome,1,-1,1,2,Noonan syndrome,2,Noonan syndrome,2,-2,1,2,Unaffected,0,Unaffected,2,0,0,2,Williams syndrome,2,Angelman syndrome,-1,-1,0,2,Kabuki syndrome,2,Kabuki syndrome,2,-2,1,2,Noonan syndrome,2,Williams syndrome,2,1,1,2,Williams syndrome,1,Kabuki syndrome,1,-1,-1,2,Noonan syndrome,2,Williams syndrome,1,0,0,2,22q11.2 deletion syndrome,2,22q11.2 deletion syndrome,2,2,2,2,Williams syndrome,2,Williams syndrome,2,0,0,2,Unaffected,1,Unaffected,2,-1,-1,2,Unaffected,0,22q11.2 deletion syndrome,1,0,0,2,Kabuki syndrome,1,22q11.2 deletion syndrome,1,-1,1,2,Angelman syndrome,0,Angelman syndrome,2,0,1,2,Noonan syndrome,1,Noonan syndrome,2,1,1,2,Williams syndrome,2,Angelman syndrome,1,-1,-1,1,Kabuki syndrome,1,Kabuki syndrome,2,1,0,2,I almost universally switched to the AI prediction. The saliency maps and region relevance scores were more useful for learning (I assumed the AI was correct) than for making decision. ,No,,
